Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,435.517426,443.126984,425.440277,434.359009,434.359009,1457158940
2018-06-02,434.648071,447.114746,432.321411,443.169067,443.169067,1408109942
2018-06-03,442.757965,467.659882,442.757965,463.098389,463.098389,1372491025
2018-06-04,463.928253,466.359222,438.248505,445.384552,445.384552,1429645498
2018-06-05,445.700775,456.012238,436.565979,454.568024,454.568024,1375910140
2018-06-06,455.283508,456.007599,444.772919,452.436127,452.436127,1308987293
2018-06-07,452.855652,458.576935,448.455688,451.127106,451.127106,1401520710
2018-06-08,451.317932,453.659454,444.937256,448.130188,448.130188,1221039266
2018-06-09,448.001953,453.726227,445.509583,445.509583,445.509583,1132714495
2018-06-10,443.111145,443.111145,381.721863,392.543243,392.543243,1666328661
2018-06-11,391.333862,400.431091,385.190247,398.866119,398.866119,1482513041
2018-06-12,398.436829,402.235260,367.388367,371.526947,371.526947,1445270369
2018-06-13,372.405609,375.649292,343.077942,356.898102,356.898102,1554772440
2018-06-14,357.561127,394.740997,350.739807,392.139740,392.139740,1855024983
2018-06-15,392.696533,393.378357,366.987122,369.648407,369.648407,1361341528
2018-06-16,369.204254,378.847382,368.027557,376.151459,376.151459,989317136
2018-06-17,376.014435,382.173462,375.403168,376.985321,376.985321,952821104
2018-06-18,376.183044,393.956970,372.486450,391.379547,391.379547,1141853939
2018-06-19,391.479126,411.746918,389.170135,408.409485,408.409485,1310788023
2018-06-20,408.826294,410.077332,394.807312,407.158142,407.158142,1211973311
2018-06-21,407.294067,413.033264,395.637299,398.223206,398.223206,1104032331
2018-06-22,398.092560,397.972351,344.241272,350.977234,350.977234,1677237854
2018-06-23,351.321564,361.007385,348.397369,357.534637,357.534637,1244258565
2018-06-24,357.721527,358.166809,321.329865,345.152344,345.152344,1878265436
2018-06-25,343.843140,354.254730,338.763855,346.775635,346.775635,3019398885
2018-06-26,347.094330,347.482117,327.386353,327.386353,327.386353,1026219835
2018-06-27,326.986908,338.728943,323.096039,337.194153,337.194153,1043478948
2018-06-28,337.136993,338.355591,320.956726,323.081909,323.081909,1040916405
2018-06-29,323.251740,334.463623,310.155090,330.084778,330.084778,1184419690
2018-06-30,330.236206,347.336670,330.236206,344.598389,344.598389,1117374493
2018-07-01,344.645325,346.081451,337.940033,343.668976,343.668976,1144556366
2018-07-02,343.597809,365.413361,339.440460,361.728180,361.728180,1237188914
2018-07-03,361.757843,368.510284,350.706604,351.876129,351.876129,1276485725
2018-07-04,351.842773,364.475739,344.811005,353.332825,353.332825,1171760157
2018-07-05,353.309387,364.533051,351.352844,358.859283,358.859283,1383214862
2018-07-06,358.817688,361.619415,345.970367,356.668152,356.668152,1224687723
2018-07-07,356.702026,369.947327,351.268616,369.947327,369.947327,1022091847
2018-07-08,370.254333,378.629791,367.479492,367.952301,367.952301,1011479726
2018-07-09,367.770996,369.311554,358.568512,359.678558,359.678558,1157322822
2018-07-10,359.286194,360.885773,327.368744,327.718781,327.718781,1349630320
2018-07-11,327.787415,337.316956,323.716461,338.117523,338.117523,1077139191
2018-07-12,338.105408,338.182251,320.894043,326.382324,326.382324,1134886545
2018-07-13,326.888519,336.295441,326.814117,328.013153,328.013153,1125808658
